[marke] ['backwaren'] <- KATHI | Knusper-Häppchen
[marke] ['bier'] <- Allgäuer Büble Edelbräu | je 20 x 0,5-l-Fl.-Kasten (1 l = 1,50 €), zzgl. 4,50 € Pfand
[marke] ['bier'] <- Anheuser- Busch Bud | je 24 x 0,3-l-Fl.-Kasten (1 l = 2,36 €), zzgl. 3,42 € Pfand
[marke] ['bier'] <- Astra Urtyp | je 6 x 0,33-l-Fl.-Sixpack (1 l = 2,02 €), zzgl. 0,48 € Pfand
[marke] ['bier'] <- BENEDIKTINER | Hell
[marke] ['bier'] <- Bitburger | 0,5 l
[marke] ['bier'] <- Corona Extra | 4 x 0,355 l
[marke] ['bier'] <- Corona Mexican Beer | je 20 x 0,35-l-Fl.-Kasten (1 l = 2,39 €), zzgl. 3,10 € Pfand
[marke] ['bier'] <- Gösser | 0,5 l
[marke] ['bier'] <- Heineken Premium Beer oder Alkoholfrei 0.0% | 6 x 0,33 l
[marke] ['bier'] <- KARLSBERG | Mixery
[marke] ['bier'] <- KROMBACHER Fassbrause* | je 6 x 0,33 I
[marke] ['bier'] <- Krombacher Alkoholfrei 0,0% | 6 x 0,33 l
[marke] ['bier'] <- Krombacher Spezi | koffeinhaltig, je 20 x 0,5-l-Fl.-Kasten (1 l = 1,20 €), zzgl. 3,10 € Pfand
[marke] ['bier'] <- Landskron Hell | 20 x 0,5 l
[marke] ['bier'] <- LÖBAU | Lausitzer Porter Schwarzes
[marke] ['bier'] <- LÜBZER Lümo* | je 0,33 I
[marke] ['bier'] <- Mezzacorona | trocken, je 0,75-l-Fl. (1 l = 5,32 €)
[marke] ['bier'] <- PAULANER | Spezi
[marke] ['bier'] <- Paulaner Spezi | 20 x 0,5 l
[marke] ['bier'] <- Paulaner | 0,5 l
[marke] ['bier'] <- Peroni Nastro Azzurro | je 6 x 0,33-l-Fl.-Sixpack (1 l = 2,52 €), zzgl. 0,48 € Pfand
[marke] ['bier'] <- Pülleken | 6x0,33-L-Dose
[marke] ['bier'] <- Radeberger Pilsner oder Alkoholfrei | 20 x 0,5 l
[marke] ['bier'] <- Radeberger Pilsner | 0,5 l
[marke] ['bier'] <- SCHÖFFERHOFER Hefeweizen-Mix* | je 0,5 I
[marke] ['bier'] <- Spaten Münchner Hell oder Alkoholfrei | 20 x 0,5 l
[marke] ['bier'] <- Sternburg Export | 20 x 0,5 l
[marke] ['chips'] <- Chio Ready Made Popcorn süß | je 120-g-Btl. (1 kg = 9,92 €)
[marke] ['chips'] <- LORENZ Naturals* | je 95 g
[marke] ['chips'] <- LORENZ Saltletts* | je 150 g
[marke] ['chips'] <- Lorenz Naturals | Rosmarin, je 95-g-Btl. (1 kg = 16,74 €)
[marke] ['chips'] <- Lorenz Saltletts | 175 g – 250 g
[marke] ['eis'] <- Fruity Ice | 90-ml-Packung
[marke] ['eis'] <- LANGNESE Magnum* | je 270 ml
[marke] ['eis'] <- Langnese Stieleis | 360 ml – 512 ml
[marke] ['eis'] <- Magnum La Pistache | je 270-ml-Pckg. (1 l = 9,22 €)
[marke] ['eis'] <- Magnum Mini Mix Classic, Almond, White | je 330-ml-Pckg. (1 l = 7,55 €)
[marke] ['eis'] <- MÖVENPICK Brownie* | je 300 g
[marke] ['eis'] <- MÖVENPICK Cheesecake* | je 350 g
[marke] ['eis'] <- Mövenpick | 500 g
[marke] ['eis'] <- SCHÖLLER Pirulo Fruit Explosion Mix* | je 252 ml
[marke] ['eis'] <- SCHÖLLER Pirulo Kaktus* | je 9 x 45 ml
[marke] ['eis'] <- Schöller Multipackung Pirulo Kaktus | je 9 x 45-ml-Pckg. (1 l = 5,48 €)
[marke] ['eis'] <- Schöller Multipackung Pirulo Watermelon | je 5 x 73-ml-Pckg. (1 l = 6,08 €)
[marke] ['fertiggericht'] <- PENNY READY Ayran Natur | je 500 ml
[marke] ['fertiggericht'] <- PENNY READY Pizzateig | je 600 g
[marke] ['fertiggericht'] <- PENNY READY Rinderburger | je 2 x 160 g
[marke] ['fertiggericht'] <- PENNY READY Sandwich | je 185 g
[marke] ['fertiggericht'] <- PENNY READY Snackbox | je 175 g
[marke] ['fertiggericht'] <- PENNY READY Super Smoothie | je 250 ml
[marke] ['fisch'] <- NORDSEE | Fischspezialitäten
[marke] ['fleisch'] <- KEUNECKE Genießerküche* | je 400 g
[marke] ['frischkäse'] <- Buko | 200-g-Packung
[marke] ['frischkäse'] <- ERGÜLLÜ | Creme
[marke] ['frischkäse'] <- Exquisa Der Sahnige | 65% Fett i.Tr., je 200-g-Pckg. (1 kg = 5,55 €)
[marke] ['frischkäse'] <- KIRI | Dippi
[marke] ['frischkäse'] <- Kiri Dippi oder Portionen XXL | 175 g – 180 g
[marke] ['frischkäse'] <- MIREE Frischkäsezubereitung | je 150 g
[marke] ['frischkäse'] <- Züger Mozza Vella | je 125-g-Pckg. (1 kg = 15,92 €)
[marke] ['joghurt'] <- Actimel Erdbeere XXXL | 14x100-g-Packung
[marke] ['joghurt'] <- Actimel XXXL | 14x100-g-Packung
[marke] ['joghurt'] <- DANONE YoPro* | je 270 g
[marke] ['joghurt'] <- DANONE | Activia
[marke] ['joghurt'] <- Ehrmann Obstgarten | 120 g – 125 g
[marke] ['joghurt'] <- Fruchtzwerge weniger süß | 6x50-g-Packung
[marke] ['joghurt'] <- Fruchtzwerge | 6x50-g-Packung
[marke] ['joghurt'] <- KIDS WORLD | Maxi-Snack
[marke] ['joghurt'] <- MILPRIMA Fruchtigurt | je 150 g
[marke] ['joghurt'] <- MÜLLER Froop* | je 150 g
[marke] ['joghurt'] <- MÜLLER | Kefir oder Ayran
[marke] ['joghurt'] <- MÜLLER | Kefir oder Ayran
[marke] ['joghurt'] <- Müller Froop | versch. Sorten, je 150-g-Becher (1 kg = 3,27 €)
[marke] ['joghurt'] <- Müller Kalinka Kefir oder Ayran | 500 g / 500 ml
[marke] ['kaffee'] <- Jacobs 2in1 Classic | je 124-g-Pckg. (1 kg = 16,05 €)
[marke] ['kaffee'] <- Jacobs 3in1 Classic | je 120-g-Pckg. (1 kg = 16,58 €)
[marke] ['kaffee'] <- NESCAFÉ Dolce Gusto Kapseln | je 136 g
[marke] ['kaffee'] <- NESCAFÉ | Gold
[marke] ['kaffee'] <- NESCAFÉ | Gold
[marke] ['kaffee'] <- NESCAFÉ | Gold Typ Cappuccino
[marke] ['kekse'] <- BAHLSEN | Ohne Gleichen, Cream & Choc oder Waffeletten
[marke] ['kekse'] <- BORGGREVE | Kaffeegebäck
[marke] ['kekse'] <- COPPENRATH & WIESE | Unsere Goldstücke
[marke] ['kekse'] <- DE BEUKELAER Prinzenrolle* | je 450 g
[marke] ['kekse'] <- DE BEUKELAER | Prinzen-Rolle Cremys oder Minis
[marke] ['kekse'] <- GLICO | Mikado-Sticks
[marke] ['kekse'] <- KUCHENMEISTER | Koala
[marke] ['kekse'] <- LAMBERTZ | Coco-Fleur, Balena oder Divina
[marke] ['kekse'] <- LAMBERTZ | Composition
[marke] ['kekse'] <- LEIBNIZ | Choco
[marke] ['kekse'] <- LEIBNIZ | Minis
[marke] ['kekse'] <- MIKADO Sticks* | je 75 g
[marke] ['kekse'] <- OMA HARTMANNS | Mini »Kalter Hund«
[marke] ['kekse'] <- THE BITERY | Cookie-Teig
[marke] ['kekse'] <- TILLY Chinois* | je 350 g
[marke] ['kekse'] <- The Bitery Cookie Teig | 360 g
[marke] ['knäckebrot'] <- BRANDT | Hobbits kernig
[marke] ['knäckebrot'] <- BRANDT | Jaffa Cake
[marke] ['käse'] <- ADLER | Edelcreme
[marke] ['käse'] <- Grünländer Scheiben | 156 g
[marke] ['käse'] <- HOCHLAND Sandwichscheiben | je 150 g
[marke] ['käse'] <- LINDENHOF Ziegenkäsescheiben | je 150 g
[marke] ['käse'] <- Loose Quäse Snack | 100 g
[marke] ['limonade'] <- CAPRI-SUN Fruchtsaftgetränk* | je 0,33 l
[marke] ['limonade'] <- Capri Sun | 10 x 0,2 l
[marke] ['limonade'] <- Fuze Tea | versch. Sorten, je 1,25-l-Fl. (1 l = 1,03 €), zzgl. 0,25 € Pfand
[marke] ['limonade'] <- LIPTON Ice Tea | je 0,33 l
[marke] ['limonade'] <- MARATHON Isotonischer Fitnessdrink  | je 0,5 I
[marke] ['limonade'] <- MARATHON Isotonischer Fitnessdrink | je 0,5 I
[marke] ['limonade'] <- Orangina | 0,5-L-Flasche
[marke] ['margarine'] <- Becel Gold | je 225-g-Becher (1 kg = 5,73 €)
[marke] ['margarine'] <- Brunch | 185 g
[marke] ['margarine'] <- Karamalz | 20 x 0,5 l
[marke] ['milch'] <- ARLA Kærgården | je 200 g
[marke] ['milch'] <- ARLA | Finello
[marke] ['milch'] <- SCHWARZKOPF | Taft Haarlack, -spray oder Schaumfestiger
[marke] ['müsli'] <- Corny Müsliriegel | 100 g – 150 g
[marke] ['obst'] <- HIPP | Bio-Fruchtsnack
[marke] ['pizza'] <- SAN FABIO Mascarpone | je 250 g
[marke] ['pommes'] <- MC CAIN Pickers* | je 230 g
[marke] ['reis'] <- Oryza Reisspezialität | versch. Sorten, je 500-g-Btl. (1 kg = 3,58 €)
[marke] ['saft'] <- Granini Fresh | 0,75 l
[marke] ['saft'] <- HOHES C Vitamin Water* | je 0,75 I
[marke] ['saft'] <- PFANNER Zero Sirup* | je 57 ml
[marke] ['saft'] <- RAUCH | Happy Day
[marke] ['schokolade'] <- BERGGOLD Gelee-Schokofrüchte* | je 250 g
[marke] ['schokolade'] <- FERRERO Giotto | je 4 x 38,7 g
[marke] ['schokolade'] <- FERRERO Kinder Pingui* | je 6 x 30 g
[marke] ['schokolade'] <- FERRERO Kinder délice | je 156 g
[marke] ['schokolade'] <- FERRERO Raffaello* | je 150 g
[marke] ['schokolade'] <- FERRERO Yogurette* | je 300 g
[marke] ['schokolade'] <- Ferrero Giotto | 154 g – 154,8 g
[marke] ['schokolade'] <- Goldbären | Beutel
[marke] ['schokolade'] <- Halloren O’s | 125 g
[marke] ['schokolade'] <- Katjes Fruchtgummi | 210 g
[marke] ['schokolade'] <- Katjes Fruchtgummi | versch. Sorten, je 210-g-Btl. (1 kg = 3,67 €)
[marke] ['schokolade'] <- Kinder Maxi King | 4 x 35 g
[marke] ['schokolade'] <- LION, NUTS, KITKAT, NESQUIK, | Riegel oder SMARTIES Schokolinsen
[marke] ['schokolade'] <- Lindt Hello | Japanese Cheesecake, je 100-g-Tafel (1 kg = 29,90 €)
[marke] ['schokolade'] <- MARS Celebrations | je 269 g
[marke] ['schokolade'] <- MARS Mixed Minis | je 400 g
[marke] ['schokolade'] <- MERCI | Lovelies
[marke] ['schokolade'] <- MILKA | Choco oder Sensations
[marke] ['schokolade'] <- MILKA | Küchlein
[marke] ['schokolade'] <- MILKA | Pralinés oder Hauchzarte Herzen
[marke] ['schokolade'] <- Mars, Snickers oderTwix | 148 g – 250 g
[marke] ['schokolade'] <- Milchmäuse-Duo-Creme | 200-g-Glas
[marke] ['schokolade'] <- Milka Choco & Cake | je 175-g-Pckg. (1 kg = 11,37 €)
[marke] ['schokolade'] <- Raffaello | 230 g – 260 g
